,x,y,z
0,4.0,13.0,172.0
1,12.0,22.0,493.0
2,12.0,21.0,450.0
3,20.0,29.0,856.0
4,16.0,26.0,688.0
5,16.0,25.0,637.0
6,4.0,15.0,228.0
7,20.0,31.0,976.0
8,16.0,25.0,637.0
9,20.0,31.0,976.0
10,16.0,27.0,741.0
11,20.0,29.0,856.0
12,12.0,22.0,493.0
13,12.0,22.0,493.0
14,20.0,31.0,976.0
15,20.0,31.0,976.0
16,8.0,19.0,367.0
17,4.0,14.0,199.0
18,20.0,31.0,976.0
19,20.0,30.0,915.0
20,8.0,19.0,367.0
21,4.0,14.0,199.0
22,12.0,21.0,450.0
23,12.0,21.0,450.0
24,16.0,26.0,688.0
25,8.0,19.0,367.0
26,12.0,23.0,538.0
27,8.0,17.0,295.0
28,16.0,27.0,741.0
29,12.0,22.0,493.0
30,8.0,18.0,330.0
31,20.0,31.0,976.0
32,16.0,27.0,741.0
33,12.0,21.0,450.0
34,8.0,18.0,330.0
35,16.0,25.0,637.0
36,12.0,21.0,450.0
37,12.0,22.0,493.0
38,4.0,15.0,228.0
39,4.0,15.0,228.0
40,4.0,14.0,199.0
41,8.0,19.0,367.0
42,16.0,26.0,688.0
43,12.0,23.0,538.0
44,20.0,30.0,915.0
45,8.0,19.0,367.0
46,4.0,14.0,199.0
47,16.0,25.0,637.0
48,12.0,23.0,538.0
49,16.0,27.0,741.0
50,4.0,14.0,199.0
51,20.0,31.0,976.0
52,16.0,26.0,688.0
53,16.0,26.0,688.0
54,4.0,15.0,228.0
55,12.0,22.0,493.0
56,4.0,13.0,172.0
57,20.0,29.0,856.0
58,8.0,19.0,367.0
59,12.0,23.0,538.0
60,16.0,25.0,637.0
61,8.0,19.0,367.0
62,12.0,22.0,493.0
63,12.0,23.0,538.0
64,20.0,29.0,856.0
65,4.0,14.0,199.0
66,12.0,22.0,493.0
67,16.0,26.0,688.0
68,4.0,14.0,199.0
69,4.0,14.0,199.0
70,16.0,27.0,741.0
71,20.0,31.0,976.0
72,16.0,27.0,741.0
73,16.0,27.0,741.0
74,4.0,13.0,172.0
75,20.0,31.0,976.0
76,16.0,26.0,688.0
77,8.0,18.0,330.0
78,4.0,14.0,199.0
79,4.0,14.0,199.0
80,4.0,15.0,228.0
81,8.0,18.0,330.0
82,4.0,14.0,199.0
83,8.0,18.0,330.0
84,20.0,31.0,976.0
85,8.0,17.0,295.0
86,4.0,14.0,199.0
87,12.0,21.0,450.0
88,16.0,25.0,637.0
89,20.0,31.0,976.0
90,8.0,17.0,295.0
91,12.0,21.0,450.0
92,12.0,21.0,450.0
93,4.0,14.0,199.0
94,16.0,27.0,741.0
95,12.0,23.0,538.0
96,20.0,29.0,856.0
97,20.0,30.0,915.0
98,8.0,17.0,295.0
99,12.0,21.0,450.0
100,4.0,14.0,199.0
101,16.0,25.0,637.0
102,12.0,22.0,493.0
103,8.0,19.0,367.0
104,20.0,29.0,856.0
105,4.0,14.0,199.0
106,8.0,18.0,330.0
107,12.0,22.0,493.0
108,12.0,21.0,450.0
109,4.0,13.0,172.0
110,8.0,17.0,295.0
111,20.0,31.0,976.0
112,4.0,14.0,199.0
113,4.0,13.0,172.0
114,8.0,17.0,295.0
115,8.0,19.0,367.0
116,16.0,27.0,741.0
117,20.0,30.0,915.0
118,20.0,29.0,856.0
119,16.0,26.0,688.0
120,20.0,29.0,856.0
121,16.0,26.0,688.0
122,16.0,25.0,637.0
123,12.0,21.0,450.0
124,12.0,21.0,450.0
125,16.0,25.0,637.0
126,16.0,26.0,688.0
127,8.0,18.0,330.0
128,20.0,30.0,915.0
129,4.0,14.0,199.0
130,12.0,21.0,450.0
131,4.0,13.0,172.0
132,12.0,22.0,493.0
133,4.0,13.0,172.0
134,12.0,21.0,450.0
135,16.0,27.0,741.0
136,8.0,17.0,295.0
137,12.0,22.0,493.0
138,20.0,29.0,856.0
139,16.0,27.0,741.0
140,16.0,26.0,688.0
141,12.0,21.0,450.0
142,4.0,13.0,172.0
143,4.0,15.0,228.0
144,20.0,29.0,856.0
145,12.0,21.0,450.0
146,20.0,31.0,976.0
147,16.0,26.0,688.0
148,16.0,25.0,637.0
149,4.0,13.0,172.0
150,4.0,14.0,199.0
151,20.0,31.0,976.0
152,4.0,15.0,228.0
153,8.0,18.0,330.0
154,12.0,21.0,450.0
155,4.0,14.0,199.0
156,20.0,31.0,976.0
157,20.0,30.0,915.0
158,8.0,18.0,330.0
159,4.0,15.0,228.0
160,4.0,14.0,199.0
161,20.0,30.0,915.0
162,16.0,26.0,688.0
163,12.0,22.0,493.0
164,20.0,31.0,976.0
165,4.0,13.0,172.0
166,8.0,19.0,367.0
167,16.0,25.0,637.0
168,12.0,21.0,450.0
169,4.0,14.0,199.0
170,20.0,29.0,856.0
171,8.0,19.0,367.0
172,20.0,31.0,976.0
173,4.0,13.0,172.0
174,8.0,18.0,330.0
175,12.0,23.0,538.0
176,16.0,27.0,741.0
177,20.0,29.0,856.0
178,16.0,27.0,741.0
179,16.0,27.0,741.0
180,4.0,13.0,172.0
181,20.0,29.0,856.0
182,4.0,14.0,199.0
183,12.0,22.0,493.0
184,16.0,26.0,688.0
185,8.0,19.0,367.0
186,12.0,22.0,493.0
187,12.0,21.0,450.0
188,20.0,30.0,915.0
189,4.0,13.0,172.0
190,12.0,21.0,450.0
191,8.0,17.0,295.0
192,12.0,22.0,493.0
193,8.0,19.0,367.0
194,4.0,13.0,172.0
195,8.0,17.0,295.0
196,8.0,19.0,367.0
197,8.0,19.0,367.0
198,8.0,18.0,330.0
199,20.0,30.0,915.0
200,16.0,27.0,741.0
201,12.0,22.0,493.0
202,20.0,29.0,856.0
203,12.0,21.0,450.0
204,20.0,31.0,976.0
205,4.0,13.0,172.0
206,16.0,25.0,637.0
207,8.0,19.0,367.0
208,16.0,26.0,688.0
209,4.0,13.0,172.0
210,20.0,31.0,976.0
211,12.0,23.0,538.0
212,20.0,29.0,856.0
213,4.0,14.0,199.0
214,16.0,26.0,688.0
215,20.0,29.0,856.0
216,20.0,29.0,856.0
217,20.0,31.0,976.0
218,16.0,26.0,688.0
219,12.0,22.0,493.0
220,8.0,17.0,295.0
221,4.0,13.0,172.0
222,8.0,19.0,367.0
223,20.0,29.0,856.0
224,4.0,14.0,199.0
225,16.0,25.0,637.0
226,20.0,29.0,856.0
227,4.0,13.0,172.0
228,12.0,23.0,538.0
229,8.0,17.0,295.0
230,4.0,13.0,172.0
231,20.0,31.0,976.0
232,20.0,29.0,856.0
233,16.0,25.0,637.0
234,16.0,25.0,637.0
235,16.0,26.0,688.0
236,20.0,29.0,856.0
237,16.0,26.0,688.0
238,16.0,27.0,741.0
239,8.0,19.0,367.0
240,20.0,30.0,915.0
241,12.0,22.0,493.0
242,12.0,21.0,450.0
243,4.0,14.0,199.0
244,4.0,15.0,228.0
245,12.0,22.0,493.0
246,8.0,19.0,367.0
247,12.0,23.0,538.0
248,8.0,17.0,295.0
249,16.0,27.0,741.0
250,4.0,14.0,199.0
251,16.0,25.0,637.0
252,16.0,27.0,741.0
253,4.0,15.0,228.0
254,4.0,13.0,172.0
255,20.0,30.0,915.0
256,12.0,23.0,538.0
257,4.0,15.0,228.0
258,20.0,29.0,856.0
259,16.0,26.0,688.0
260,4.0,14.0,199.0
261,12.0,23.0,538.0
262,12.0,22.0,493.0
263,16.0,25.0,637.0
264,16.0,27.0,741.0
265,16.0,25.0,637.0
266,12.0,22.0,493.0
267,8.0,18.0,330.0
268,20.0,30.0,915.0
269,12.0,23.0,538.0
270,16.0,27.0,741.0
271,12.0,23.0,538.0
272,4.0,15.0,228.0
273,4.0,13.0,172.0
274,4.0,14.0,199.0
275,16.0,25.0,637.0
276,20.0,29.0,856.0
277,8.0,19.0,367.0
