vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_tight,speed_limit,estimated_speed_of_collision,seat_belt_used,injury_sustained,lethal,land_use,city
Car,Pedestrian,17/12/18,19:09,1,28,30,25,0,1,0,Transport,Kisumu
Bicycle,Car,20/06/18,20:31,1,13,40,33,0,1,0,Transport,Kisumu
Car,Bicycle,25/10/18,17:04,0,1,30,40,1,0,0,Industrial,Kehancha
Pedestrian,Car,20/10/18,19:49,1,12,40,50,1,1,0,Residential,Nairobi
Bicycle,Car,06/07/18,18:38,0,10,30,34,1,0,0,Transport,Nairobi
Car,Car,20/02/18,15:08,1,5,40,34,1,1,0,Commercial,Mombasa
Car,Motorbike,04/10/18,20:27,0,1,70,59,1,1,0,Commercial,Mombasa
Car,Pedestrian,14/05/18,08:52,0,21,20,20,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,19/04/18,03:15,0,18,30,23,N/A,0,0,Agricultural,Mombasa
Pedestrian,Bicycle,02/10/18,08:44,0,9,20,25,N/A,1,0,Transport,Mombasa
Car,Car,05/05/18,09:56,0,13,60,48,1,1,0,Agricultural,Nairobi
Motorbike,Motorbike,17/03/18,10:51,0,14,20,21,N/A,1,0,Commercial,Mombasa
Car,Motorbike,10/06/18,19:08,1,15,60,51,1,1,0,Agricultural,Nairobi
Motorbike,Car,09/07/18,18:19,0,39,40,34,1,1,0,Residential,Nairobi
Car,Pedestrian,28/10/18,09:15,1,6,20,22,1,0,0,Residential,Mombasa
Motorbike,Bicycle,28/12/18,20:50,1,10,20,15,N/A,1,0,Commercial,Nairobi
Pedestrian,Car,09/03/18,07:34,0,19,40,40,1,1,0,Transport,Mombasa
Bicycle,Pedestrian,15/03/18,13:10,0,27,20,25,N/A,1,0,Residential,Nairobi
Car,Car,24/07/18,20:38,0,12,60,52,1,1,0,Agricultural,Nairobi
Car,Car,25/07/18,17:18,1,31,70,67,0,1,0,Residential,Kikuyu
Pedestrian,Bicycle,27/02/18,17:38,0,33,30,34,N/A,0,0,Agricultural,Mombasa
Car,Motorbike,20/10/18,15:24,0,12,50,54,0,1,1,Transport,Nairobi
Car,Car,03/04/18,12:25,0,28,70,69,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,16/08/18,09:31,1,8,20,19,N/A,1,0,Residential,Kisumu
Bicycle,Car,05/07/18,16:02,0,28,50,50,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,14/03/18,20:25,0,18,30,43,N/A,1,0,Agricultural,Mombasa
Car,Car,22/05/18,09:59,1,27,50,45,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,19/05/18,11:38,0,21,20,20,N/A,0,0,Residential,Nairobi
Bicycle,Car,04/08/18,17:24,0,13,30,25,1,0,0,Commercial,Mombasa
Pedestrian,Pedestrian,19/07/18,10:44,0,20,20,19,N/A,0,0,Transport,Mombasa
Motorbike,Car,01/01/18,08:29,1,23,50,64,1,1,0,Residential,Mombasa
Car,Bicycle,05/11/18,10:18,1,5,30,30,1,1,0,Residential,Nairobi
