vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Motorbike,Car,21/11/18,20:16,0,8,40,30,30 - 35,0,1,0,Commercial,Kisumu
Car,Bicycle,24/03/18,18:27,1,4,30,30,30 - 35,1,0,0,Residential,Mombasa
Car,Pedestrian,26/03/18,09:40,0,16,40,48,45 - 50,1,1,0,Residential,Nairobi
Car,Car,16/07/18,10:27,1,36,60,54,50 - 55,0,1,1,Commercial,Kisumu
Bicycle,Bicycle,26/06/18,18:19,0,30,30,24,20 - 25,N/A,0,0,Agricultural,Mombasa
Bicycle,Motorbike,16/01/18,17:52,1,20,50,51,50 - 55,N/A,1,0,Residential,Mombasa
Car,Bicycle,27/03/18,10:02,0,14,30,30,30 - 35,1,1,0,Agricultural,Nairobi
Motorbike,Car,19/07/18,10:55,1,31,60,61,60 - 65,1,1,1,Industrial,Kehancha
Car,Pedestrian,28/11/18,19:08,0,11,40,48,45 - 50,1,1,0,Transport,Mombasa
Car,Bicycle,07/07/18,18:17,1,22,40,27,25 - 30,0,1,0,Industrial,Nairobi
Bicycle,Motorbike,28/05/18,18:14,1,23,40,36,35 - 40,N/A,1,0,Commercial,Nakuru
Car,Car,10/05/18,20:45,1,26,40,42,40 - 45,0,1,0,Commercial,Kisumu
Motorbike,Pedestrian,28/04/18,09:19,1,6,50,40,40 - 45,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,03/04/18,08:18,0,17,30,29,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,08/06/18,20:57,1,5,50,46,45 - 50,1,1,0,Residential,Mombasa
Motorbike,Car,01/08/18,19:32,0,30,70,58,55 - 60,1,1,0,Residential,Nairobi
Car,Motorbike,28/09/18,19:21,0,9,60,52,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Car,18/11/18,10:13,1,42,30,30,30 - 35,1,1,0,Residential,Nairobi
Motorbike,Car,25/09/18,08:06,1,29,70,71,70 - 75,0,1,1,Transport,Nakuru
Pedestrian,Pedestrian,08/11/18,19:22,0,12,20,16,15 - 20,N/A,0,0,Residential,Mombasa
Bicycle,Pedestrian,25/05/18,08:26,0,0,20,17,15 - 20,N/A,0,0,Agricultural,Nairobi
Motorbike,Motorbike,27/12/18,20:16,1,1,50,64,60 - 65,N/A,1,1,Commercial,Nairobi
Bicycle,Motorbike,27/07/18,05:58,0,29,30,26,25 - 30,N/A,1,0,Residential,Eldoret
Car,Bicycle,09/06/18,08:19,0,13,20,26,25 - 30,1,1,0,Residential,Nairobi
Bicycle,Bicycle,18/05/18,19:59,1,14,30,28,25 - 30,N/A,1,0,Residential,Kikuyu
Pedestrian,Pedestrian,26/03/18,19:38,0,24,20,20,20 - 25,N/A,0,0,Residential,Mombasa
Bicycle,Pedestrian,03/10/18,20:11,1,1,20,19,15 - 20,N/A,0,0,Residential,Nairobi
Pedestrian,Car,16/01/18,14:05,0,1,20,20,20 - 25,0,1,0,Agricultural,Nairobi
Car,Pedestrian,26/02/18,19:04,0,33,40,34,30 - 35,0,1,1,Residential,Eldoret
Motorbike,Car,21/12/18,01:37,1,19,60,66,65 - 70,1,1,1,Transport,Nairobi
Bicycle,Bicycle,05/07/18,20:06,1,21,20,13,10 - 15,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,20/10/18,09:17,1,23,30,30,30 - 35,N/A,1,0,Residential,Mombasa
Car,Motorbike,21/03/18,09:11,0,9,60,68,65 - 70,1,1,1,Residential,Nairobi
Bicycle,Pedestrian,19/03/18,17:39,0,15,30,28,25 - 30,N/A,0,0,Residential,Nairobi
Pedestrian,Bicycle,24/02/18,10:51,0,9,30,41,40 - 45,N/A,1,0,Agricultural,Mombasa
Bicycle,Pedestrian,27/07/18,05:29,0,4,20,23,20 - 25,N/A,0,0,Agricultural,Nairobi
Pedestrian,Pedestrian,11/09/18,18:13,0,29,20,16,15 - 20,N/A,0,0,Residential,Nairobi
Car,Car,01/11/18,19:06,0,15,40,47,45 - 50,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,01/08/18,18:37,1,34,30,19,15 - 20,N/A,0,0,Residential,Eldoret
Car,Car,07/05/18,20:27,0,33,70,73,70 - 75,1,1,1,Agricultural,Kikuyu
Pedestrian,Bicycle,17/09/18,03:33,0,40,30,32,30 - 35,N/A,0,0,Industrial,Nairobi
Bicycle,Bicycle,08/03/18,18:45,0,13,20,21,20 - 25,N/A,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,23/08/18,09:45,1,8,30,40,40 - 45,N/A,1,0,Residential,Eldoret
Car,Car,12/10/18,09:04,0,26,60,52,50 - 55,1,1,0,Residential,Nairobi
Car,Pedestrian,03/08/18,09:44,0,14,30,31,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,08/12/18,17:38,1,16,70,76,75 - 80,1,1,0,Transport,Nairobi
Car,Car,22/06/18,18:25,1,18,40,38,35 - 40,0,1,0,Residential,Mombasa
Bicycle,Car,09/07/18,17:21,0,11,30,16,15 - 20,0,1,0,Agricultural,Kisumu
Car,Car,27/08/18,18:10,1,21,50,46,45 - 50,1,1,0,Commercial,Nairobi
Car,Car,06/07/18,19:45,0,9,70,79,75 - 80,1,1,0,Residential,Nairobi
Car,Motorbike,03/04/18,18:46,0,12,40,52,50 - 55,1,1,0,Agricultural,Mombasa
Bicycle,Bicycle,07/03/18,20:09,1,10,30,31,30 - 35,N/A,1,0,Commercial,Nairobi
Pedestrian,Bicycle,04/08/18,07:09,0,4,30,28,25 - 30,N/A,1,0,Transport,Nakuru
Car,Motorbike,21/10/18,10:13,0,19,40,49,45 - 50,0,1,1,Residential,Eldoret
Car,Motorbike,21/06/18,09:26,0,20,50,61,60 - 65,1,1,1,Agricultural,Nairobi
Motorbike,Car,16/11/18,10:31,0,36,50,54,50 - 55,0,1,1,Residential,Nairobi
Pedestrian,Pedestrian,08/01/18,17:35,0,16,30,30,30 - 35,N/A,0,0,Residential,Kikuyu
Motorbike,Motorbike,27/08/18,20:19,0,6,40,34,30 - 35,N/A,1,0,Transport,Eldoret
Bicycle,Car,12/09/18,10:48,1,17,30,36,35 - 40,0,1,0,Residential,Eldoret
Motorbike,Car,20/04/18,02:15,0,25,50,49,45 - 50,1,1,0,Agricultural,Nairobi
Car,Car,25/11/18,10:20,1,15,60,58,55 - 60,1,1,0,Residential,Nairobi
