,x,y,z
0,8.0,8.25585016616,85.1587212584
1,48.0,50.4775895456,2347.22951102
2,13.0,5.80179249083,154.942329455
3,16.0,17.0022914757,272.482576791
4,30.0,32.6486693454,972.437431048
5,39.0,47.6329004805,1598.3470734
6,20.0,16.8646149418,385.966332598
7,11.0,7.69109158629,127.945538165
8,45.0,49.7197560368,2153.9957559
9,31.0,22.2928879059,1031.25101731
10,7.0,4.80221335952,51.3274974018
11,4.0,0.508990797183,14.6211364558
12,27.0,30.5179362456,796.661627695
13,22.0,17.4136533892,496.932080121
14,17.0,8.87145459377,275.465142771
15,49.0,47.5107335384,2399.19729125
16,17.0,20.0894849465,335.927446289
17,8.0,10.3642146183,71.703633165
18,8.0,11.1908643839,78.1006977951
19,15.0,11.7120452959,253.696906639
20,48.0,35.7805899379,2397.09379189
21,28.0,23.2919808419,817.983935848
22,17.0,20.2671941704,288.843579444
23,23.0,14.6801086662,520.731929588
24,5.0,-1.11820926086,16.2554479018
25,19.0,17.3686235736,394.715537306
26,10.0,12.9400586712,97.0461240411
27,15.0,13.9402002545,262.338401581
28,36.0,45.9043298076,1321.41701536
29,31.0,28.1477649775,963.643634721
30,22.0,17.2432636093,505.110528659
31,5.0,8.87124766246,36.4401272894
32,39.0,53.0521644574,1622.26081263
33,16.0,17.8157997083,272.224067587
34,42.0,43.4071990996,1819.44795122
35,31.0,32.6201880716,964.704797946
36,4.0,3.17634460142,20.8044300292
37,37.0,51.3539914248,1427.66973021
38,9.0,12.786298313,98.5378762335
39,49.0,64.7382998643,2375.81266114
40,5.0,5.01742988632,22.7537428284
41,20.0,23.4503760444,431.537517281
42,23.0,22.0662934027,573.257139054
43,1.0,4.90532871034,6.80350512642
44,44.0,47.1254885093,1907.83777393
45,46.0,41.2589761034,2078.46011207
46,5.0,4.78483391178,21.4032823668
47,48.0,44.5095015492,2262.41706697
48,33.0,34.670533064,1118.14626347
49,5.0,2.32943279738,19.0046001887
50,25.0,27.6394362573,660.48721503
51,18.0,17.2609299894,366.665340234
52,35.0,29.2547986114,1312.76915138
53,7.0,4.29727910601,57.4363908694
54,10.0,11.6674764256,111.632579873
55,1.0,-2.12269398239,-1.8050976623
56,41.0,33.6899795924,1716.46940262
57,23.0,19.1101759833,528.397235494
58,3.0,3.69563772434,13.286476609
59,19.0,12.3998715358,388.550487893
60,44.0,42.331442417,1919.05841191
61,26.0,25.2312482784,748.126206585
62,47.0,45.8464473955,2168.19315107
63,21.0,24.1124642176,493.439583479
64,17.0,16.9604723348,303.031564735
65,7.0,10.156728961,46.6271639413
66,29.0,29.8863552597,874.730194546
67,30.0,36.7093736731,942.890852168
68,19.0,16.3162239082,375.811876218
69,44.0,33.5939079161,1999.81542567
70,24.0,15.1024029456,563.485592136
71,21.0,19.2658315167,425.308573951
72,30.0,25.3762466296,986.275669389
73,39.0,40.1447239234,1582.37519572
74,10.0,13.5387289439,98.3122006044
75,43.0,34.4724762351,1803.19078558
76,26.0,26.8941250796,748.777477534
77,29.0,29.2099169233,918.484740822
78,43.0,37.6792698525,1828.27421564
79,45.0,51.2851344677,2144.75928716
80,1.0,0.918212631759,1.30746092992
81,29.0,37.9517669888,879.879467135
82,9.0,5.53791056368,69.8826174033
83,47.0,37.7493394247,2338.88137015
84,30.0,35.4161435665,941.830535138
85,13.0,11.7143449188,203.694891955
86,32.0,33.5493206186,1047.98224127
87,5.0,5.24373806028,28.3004760041
88,24.0,16.8149786756,606.632206744
89,45.0,48.6319132638,2105.78353489
90,47.0,58.8538115641,2350.87587969
91,45.0,40.1030392185,2124.31126242
92,5.0,5.12198282746,39.3158186125
93,29.0,24.4270661287,847.453243328
94,2.0,-2.38057228128,-0.373350624564
95,11.0,4.19939172552,120.077173944
96,24.0,35.4683628486,598.343745328
97,39.0,39.6162804172,1546.50103258
98,46.0,54.8986902759,2103.7070319
99,19.0,26.1255990804,424.301831182
100,38.0,44.977015329,1434.7962429
101,17.0,14.2104170317,309.685472295
102,48.0,55.3050368993,2419.56699475
103,26.0,19.1971425157,747.811231056
104,2.0,-0.534282898008,1.08233357557
105,33.0,37.6042576303,1091.65027706
106,8.0,4.24174069033,79.3035949459
107,23.0,23.5748983695,529.196790062
108,12.0,7.37831977602,164.069397122
109,26.0,31.6538355422,663.53459377
110,8.0,2.16856541723,81.8550988777
111,24.0,22.9393963052,572.080514095
