,x,y,z
0,16.867761397,23.6164309551,685.284117085
1,21.3487259748,19.4125343027,787.088764568
2,3.37629355019,20.9964081464,224.032782808
3,1.52622363127,25.1072592275,707.69818606
4,23.3189003897,14.2248678933,577.550510718
5,7.01354435604,25.9176104312,235.570108259
6,4.74095304886,26.9251551145,105.037686776
7,8.12613247941,20.7855968513,555.459972472
8,1.9453618511,21.8481763866,878.475102975
9,18.0940462351,28.7651469053,530.095439533
10,7.32131007428,18.9631283157,547.573858774
11,17.9016123272,26.2562657144,151.172650088
12,14.6881083278,26.675792994,731.714697997
13,15.3425484893,26.7103395982,363.98491385
14,11.1521103967,31.0278684854,422.859636091
15,15.3968369579,19.5950931062,593.198604832
16,5.38804204339,23.8538238045,694.983749266
17,14.1686095506,21.8557805575,279.751534871
18,7.31365396056,17.2665837564,496.739981655
19,4.64455900152,19.3468159572,619.533506585
20,10.5607165567,38.2375396968,299.269862938
21,6.18980176705,15.653244652,1246.05654826
22,7.17645479727,13.1420888111,454.267701755
23,13.8888297801,13.065617661,276.364464539
24,18.3821979547,32.5187434832,308.848104964
25,16.6656089551,20.1624553557,586.449794103
26,13.840459893,35.3177929273,85.5715256008
27,11.3061083844,24.3013793622,514.629805339
28,9.01544356292,22.634006927,114.034935767
29,0.505712984873,22.8813768767,918.184829629
30,13.5552183442,24.8532673901,518.392439989
31,24.1033122168,22.734627995,443.454220837
32,15.5711434461,31.7448514518,206.609188732
33,6.07676541099,16.3666882913,615.842924169
34,5.38678527649,22.0624140465,450.225746628
35,18.8760403543,20.7554886387,351.497080188
36,14.8512067881,18.8358754694,850.986430389
37,8.78903460102,16.8017105636,453.870405489
38,20.1396891193,23.6442802463,517.843576443
39,9.92182449819,21.7959850392,479.018441063
40,6.3794543861,25.3254275339,885.714090147
41,16.807519939,27.508455952,427.434578524
42,4.69921917554,24.6170604193,797.573923155
43,7.9423271401,32.1019092486,608.948043685
44,14.0478643564,22.8697633405,512.091282367
45,13.4363317283,20.5019313038,418.031172297
46,-6.30936822641,27.0932775848,694.561757796
47,12.0433042952,23.5194007632,995.193863814
48,10.3686361164,21.3039748566,791.274519227
49,10.3404767319,27.5781661145,692.671504954
50,18.3242867646,37.3709933263,310.355353557
51,12.2637864177,26.5500298106,569.655056343
52,9.98906409162,25.2573300185,352.004368706
53,16.7101970254,32.3101614469,871.283599754
54,6.10630943784,15.7190727064,789.621016361
55,6.47205633148,20.5219287415,585.731222437
56,17.4394394926,14.2425738296,167.998377213
57,11.7156290797,23.396891119,710.178913536
58,18.2254024673,23.0904877058,455.676453304
59,13.1241115375,17.4723436801,593.128744188
60,13.8883289504,20.0739734376,457.480580395
61,16.5784784815,26.5945379521,456.572401889
62,21.9822036584,23.6772465282,802.345648198
63,11.5945803767,12.5644686519,603.899431425
64,11.5944321792,15.8417484908,1189.92629544
65,19.8246791157,25.4505519189,435.114534055
66,4.35688671522,19.0526814161,741.259523757
67,15.2235490301,27.1787866649,-27.3347001366
68,16.1915248514,19.6442638093,708.486015279
69,21.9743329812,25.1192015416,386.219601924
70,19.7663515363,23.704282312,226.235846106
71,15.1751200421,21.9314248607,695.990195452
72,18.2861462067,19.0314246972,394.416069789
73,13.4778153333,26.1939742871,700.559518432
74,9.10417557279,13.5802351498,692.947447256
75,7.41072931868,21.267963847,236.960127463
76,14.0443720434,24.0677194863,957.479691849
77,30.0080897949,22.0211246008,477.415427141
78,19.0693395269,14.4342210385,883.197766654
79,2.35742820441,26.2359229677,449.860843649
80,4.07701591031,18.4130521252,668.574937846
81,3.04761881768,19.1418856945,416.719152297
82,20.1159071411,24.8709369947,328.633376721
83,5.31697840766,31.9567075995,498.018172844
84,11.5520381127,21.1218087615,299.72610806
85,18.180862155,37.2979177256,615.141171512
86,17.1791447415,19.3045718059,626.066060026
87,11.3459875502,19.9453904261,423.64965392
88,7.08786456114,23.0114750818,503.863888217
89,16.9369806826,21.6907918211,779.897522247
90,6.77354508161,20.2607295572,878.194294042
91,21.0730168581,12.0930947987,525.106366504
92,9.28531545339,38.920359094,679.4766776
93,14.9460230534,24.3986272819,794.80743381
94,13.210501844,31.5347119262,704.169362559
95,17.3704363084,22.144848238,491.948090541
96,4.02394878345,20.5158663797,889.488864039
97,7.37243521925,33.0585384765,131.771498646
98,15.6845005687,21.0634859403,274.595844904
99,10.3788930826,18.9410279815,392.094990021
100,10.0764379686,20.5858403412,635.612215643
101,2.72564425189,29.8018146187,464.946263325
102,1.55568584159,20.5549113316,379.789807392
103,21.4582012904,23.2289320423,853.781856683
104,10.9011853431,22.504382484,2.04242771106
105,15.9148543741,22.4334564867,559.745096155
106,4.66290377896,14.3422982366,334.015843918
107,15.4582750529,27.3706300094,225.728187847
108,4.72166568772,27.7297109158,131.624616332
109,2.95366101922,11.8960685952,377.023577792
110,9.65294991356,16.6508558117,523.015301328
111,11.2941101622,22.6236028336,367.289851713
112,20.4982388114,31.2262451749,661.249006444
113,11.0781922562,21.744665225,727.885833861
114,10.1648871276,30.8472663853,213.265861625
115,8.23621135295,24.8750246375,158.360758712
116,11.7413733411,23.2980005689,499.648176225
117,19.2515742416,26.1471697635,670.194710655
118,18.7369191561,32.9987815609,477.862314936
119,19.0720741814,23.9698404422,897.565763057
120,11.7109580139,24.0850013144,429.233277407
121,14.0129047851,24.8052543866,413.500671726
122,19.6535304957,16.7949425968,751.097473671
123,7.6674586857,25.2876730984,544.423082015
124,5.42171177884,31.2890184993,820.483767631
125,11.3900117292,30.3997251234,407.996435599
126,15.3544177235,16.0589989728,-34.063645357
127,12.7815515704,9.49123473289,444.445271565
128,12.9244690674,22.2949267407,621.083608783
129,9.16320495948,24.253243923,642.960615477
130,20.4281456118,25.9578088654,824.050915697
131,17.0764872492,31.8805344372,398.538491089
132,7.59452169043,23.3671409236,249.71081831
133,10.9325555134,22.6326988103,526.516435638
134,6.77862295332,26.9392096667,551.25885482
135,-1.49160067022,24.5872823975,564.751123569
136,0.153452536888,15.4740889135,923.228607313
137,21.7434141032,28.2126610768,799.676356588
138,20.6756397765,8.34027247633,672.859187781
139,14.3700037271,21.7823189626,604.474024061
140,14.1711730932,20.8005389267,547.101667701
141,18.2638791008,30.1184792122,-13.3110196664
142,16.1501401238,22.198500113,469.279698087
143,11.9931775025,25.2818910509,801.9832486
144,9.38393523269,19.3224528753,315.351228287
145,21.3268807094,27.4877252567,860.754004586
146,15.358025776,21.2781985925,473.352526543
147,20.6740219732,20.6306442704,737.367251145
148,16.2713933933,17.4788097024,-101.253926529
149,17.8146824726,28.0081627903,185.853807098
150,13.2478341423,19.4299143844,279.781363178
151,12.9200368147,28.7344638515,421.68290329
152,4.02895919662,18.1842357139,535.183086619
153,3.66753353326,29.2635204732,228.820237943
154,14.1216771435,21.1022395396,552.223515336
155,13.7239451198,21.7799375319,98.0044131071
156,12.845433702,28.2585787298,265.033618911
157,4.59117823066,14.4359804684,44.3179271359
158,11.767367907,21.4874197633,596.678395117
159,8.51398576466,24.0763439818,492.898960421
160,13.3498893497,17.8065389786,799.129774666
161,7.58798093785,38.485525912,93.484887585
162,23.1885812062,18.457373299,909.257703649
163,13.7953604182,26.0844614103,855.559298647
164,8.87866512484,29.4148279838,442.36597624
165,11.4458901877,22.496146237,382.223805782
166,9.13724317894,27.2913129458,26.5263643422
167,6.57125757296,25.0313760752,712.55002919
168,15.6287523772,32.5205948769,249.119003677
169,8.49622834354,14.2905564498,142.254417216
170,19.195482423,24.547144165,781.786362247
171,5.06439315473,13.1976964979,508.767955659
172,11.7121398411,28.7222188623,1012.75171057
173,9.30216680868,23.7803529063,826.441265053
174,21.0456825412,21.8697220783,795.41537021
175,1.87232546625,11.1034982578,1060.00864634
176,9.45112249382,24.1566824538,924.227638367
177,10.1158849615,26.5531707158,694.455190102
178,13.0320174358,22.622264939,408.249461658
179,12.6720322986,17.6801098531,875.219795997
180,23.929716984,16.4040261936,422.739606074
181,17.3079050861,24.8829143663,482.608857745
182,15.3659470076,24.1602874234,657.56676256
183,13.2531642517,14.606858147,150.163508853
184,19.4353480105,14.6627196824,550.491836244
185,13.74602971,19.6813377945,589.046276212
186,13.4581237882,21.3583545493,1041.9286398
187,6.00855910074,21.5763517327,648.34492095
188,9.06189842487,19.0157896995,732.495475398
189,16.4468712867,26.7285339091,542.345027864
190,13.8877208852,26.7728422732,296.876841198
191,17.1784763464,17.2163219938,487.195405252
192,7.08903085392,8.76079274286,559.011716789
193,2.02814897335,24.8494916892,410.466315061
194,17.1485556889,15.9298967427,214.821732565
195,25.1737958957,19.6382055205,983.55730996
196,29.5762174781,13.3392733994,-13.8946856694
197,10.5616156669,19.4632748079,788.185503673
198,6.72544747822,15.2602050346,630.451000194
199,12.8260515774,20.8726295264,402.732512869
200,7.82461004495,19.4556164657,576.871975644
201,10.552953636,22.5108584117,24.4808487744
202,17.6515380881,12.3849412452,713.127693082
203,12.1698489584,23.6585294915,655.317642605
204,10.0038892584,15.5053096489,318.478122484
205,5.99782140543,25.4801087563,280.200092079
206,16.3348009533,24.3862403968,613.33776508
207,13.0164902904,23.8770691383,901.76659697
208,8.33483644792,21.465359915,377.766114026
209,21.1036734792,27.9457351192,1051.99162587
210,6.25244971353,17.1629964272,830.627022868
211,13.7007492298,23.7655499533,225.381042161
212,8.50554968854,28.7613815954,918.136829318
213,23.0853458111,16.8334857933,673.03643865
214,13.4107977506,20.1417177575,521.828378973
215,11.6362072376,13.9771085415,752.358094276
216,12.9995855313,21.0121800182,433.035182322
217,15.1029337276,37.3651821251,283.289591322
218,13.9643564843,24.6384611063,926.444962545
219,12.7089904556,24.164567955,336.42773555
220,12.1733064096,13.4138596086,572.708195429
221,9.04169821601,21.5082231109,440.368277739
222,12.0428822459,21.9007473198,916.301733834
223,14.6676069779,22.4339114178,1062.19482903
224,19.9408968651,23.621576152,430.944823555
225,19.1388739935,16.7290491421,575.115538939
226,3.06401148457,19.0839458197,698.561804831
227,14.760600068,23.543822319,319.944201629
228,18.1784560064,12.3320914685,507.972051227
229,4.27320813192,24.6540290442,514.356543251
230,8.79948318236,24.0219166722,533.308712607
231,22.9795111585,18.7694881361,366.752316022
232,14.4446389269,13.1824780692,977.784595265
233,3.60752612364,15.0586607904,770.896280764
234,15.841333608,25.1814164599,520.740013864
235,16.1992157492,36.479741465,496.770409396
236,16.736051344,17.6275767774,427.844325261
237,-2.55157161378,13.591786171,686.089313327
238,12.9088750367,25.9313192746,466.585353376
239,18.0092479395,22.3239286241,609.017237731
240,22.2815171565,23.7768956969,946.45439783
241,15.3811520099,14.8036995261,860.906559623
242,5.05447582226,18.3248454944,684.697116213
243,8.2371353447,15.8114446649,939.845782284
244,13.2516516926,19.54078316,1277.11825853
245,11.6519334536,22.5528000959,638.863948511
246,1.32912627846,14.5723686499,860.167373471
247,-0.57590610104,17.5719133444,142.733797976
248,5.89633873349,24.91763489,946.248636483
249,12.5510856695,22.4456211414,199.938768822
250,19.3045060318,19.0914125845,1139.74531918
251,9.84029796996,24.4924894558,754.716621354
252,16.642031835,19.5197454607,377.020086231
253,17.8225680978,14.5671792259,457.980076578
254,24.5837407802,23.8057811987,55.1079580355
255,8.81210005558,15.0918345297,429.453080863
256,9.66510764416,30.0188994064,910.191785129
257,17.5610653716,19.0494329293,266.219389685
258,14.256400957,16.8516425479,1260.65176113
259,26.3308925722,25.2521017298,338.928255258
260,8.04510079704,21.8891360413,581.526276801
261,9.14616069359,7.17889879777,702.350388913
262,6.05162589647,19.6224872696,120.054004533
263,12.5491636917,27.3791244701,201.067632106
264,0.184311738674,11.5619250179,708.956711746
265,15.4432192273,23.0002328572,666.035885015
266,18.172237141,9.56718968313,512.776988747
267,19.6929301203,24.11402766,135.551179866
268,10.8164472337,18.3207655593,355.769329403
269,18.2799129617,15.2409891705,680.244566407
270,2.12398497799,17.8026235039,766.773043664
271,22.1523876657,25.1205178883,244.47723471
272,19.6511754879,23.3273912083,35.4291441343
273,19.5862440432,19.6680800162,642.539229602
274,10.2561568413,28.7830582858,617.355735383
275,16.2379852156,24.7517801855,-103.038542415
276,12.3792414867,33.3557094479,357.020731235
277,7.6551943905,20.361300903,-67.1481968307
278,9.40375637542,16.7420465815,637.979776279
279,6.22496111225,18.7919424371,300.856605587
280,7.52112418015,17.8238012802,144.247096058
